,Species,Weight,Length
0,Bream,242.0,25.4
1,Bream,290.0,26.3
2,Bream,340.0,26.5
3,Bream,363.0,29.0
4,Bream,430.0,29.0
5,Bream,450.0,29.7
6,Bream,500.0,29.7
7,Bream,390.0,30.0
8,Bream,450.0,30.0
9,Bream,500.0,30.7
10,Bream,475.0,31.0
11,Bream,500.0,31.0
12,Bream,500.0,31.5
13,Bream,340.0,32.0
14,Bream,600.0,32.0
15,Bream,600.0,32.0
16,Bream,700.0,33.0
17,Bream,700.0,33.0
18,Bream,610.0,33.5
19,Bream,650.0,33.5
20,Bream,575.0,34.0
21,Bream,685.0,34.0
22,Bream,620.0,34.5
23,Bream,680.0,35.0
24,Bream,700.0,35.0
25,Bream,725.0,35.0
26,Bream,720.0,35.0
27,Bream,714.0,36.0
28,Bream,850.0,36.0
29,Bream,1000.0,37.0
30,Bream,920.0,38.5
31,Bream,955.0,38.5
32,Bream,925.0,39.5
33,Bream,975.0,41.0
34,Bream,950.0,41.0
35,Roach,40.0,14.1
36,Roach,69.0,18.2
37,Roach,78.0,18.8
38,Roach,87.0,19.8
39,Roach,120.0,20.0
40,Roach,0.0,20.5
41,Roach,110.0,20.8
42,Roach,120.0,21.0
43,Roach,150.0,22.0
44,Roach,145.0,22.0
45,Roach,160.0,22.5
46,Roach,140.0,22.5
47,Roach,160.0,22.5
48,Roach,169.0,24.0
49,Roach,161.0,23.4
50,Roach,200.0,23.5
51,Roach,180.0,25.2
52,Roach,290.0,26.0
53,Roach,272.0,27.0
54,Roach,390.0,31.7
55,Whitefish,270.0,26.0
56,Whitefish,270.0,26.5
57,Whitefish,306.0,28.0
58,Whitefish,540.0,31.0
59,Whitefish,800.0,36.4
60,Whitefish,1000.0,40.0
61,Parkki,55.0,14.7
62,Parkki,60.0,15.5
63,Parkki,90.0,17.7
64,Parkki,120.0,19.0
65,Parkki,150.0,20.0
66,Parkki,140.0,20.7
67,Parkki,170.0,20.7
68,Parkki,145.0,21.5
69,Parkki,200.0,23.0
70,Parkki,273.0,25.0
71,Parkki,300.0,26.0
72,Perch,5.9,8.4
73,Perch,32.0,13.7
74,Perch,40.0,15.0
75,Perch,51.5,16.2
76,Perch,70.0,17.4
77,Perch,100.0,18.0
78,Perch,78.0,18.7
79,Perch,80.0,19.0
80,Perch,85.0,19.6
81,Perch,85.0,20.0
82,Perch,110.0,21.0
83,Perch,115.0,21.0
84,Perch,125.0,21.0
85,Perch,130.0,21.3
86,Perch,120.0,22.0
87,Perch,120.0,22.0
88,Perch,130.0,22.0
89,Perch,135.0,22.0
90,Perch,110.0,22.0
91,Perch,130.0,22.5
92,Perch,150.0,22.5
93,Perch,145.0,22.7
94,Perch,150.0,23.0
95,Perch,170.0,23.5
96,Perch,225.0,24.0
97,Perch,145.0,24.0
98,Perch,188.0,24.6
99,Perch,180.0,25.0
100,Perch,197.0,25.6
101,Perch,218.0,26.5
102,Perch,300.0,27.3
103,Perch,260.0,27.5
104,Perch,265.0,27.5
105,Perch,250.0,27.5
106,Perch,250.0,28.0
107,Perch,300.0,28.7
108,Perch,320.0,30.0
109,Perch,514.0,32.8
110,Perch,556.0,34.5
111,Perch,840.0,35.0
112,Perch,685.0,36.5
113,Perch,700.0,36.0
114,Perch,700.0,37.0
115,Perch,690.0,37.0
116,Perch,900.0,39.0
117,Perch,650.0,39.0
118,Perch,820.0,39.0
119,Perch,850.0,40.0
120,Perch,900.0,40.0
121,Perch,1015.0,40.0
122,Perch,820.0,40.0
123,Perch,1100.0,42.0
124,Perch,1000.0,43.0
125,Perch,1100.0,43.0
126,Perch,1000.0,43.5
127,Perch,1000.0,44.0
128,Pike,200.0,32.3
129,Pike,300.0,34.0
130,Pike,300.0,35.0
131,Pike,300.0,37.3
132,Pike,430.0,38.0
133,Pike,345.0,38.5
134,Pike,456.0,42.5
135,Pike,510.0,42.5
136,Pike,540.0,43.0
137,Pike,500.0,45.0
138,Pike,567.0,46.0
139,Pike,770.0,48.0
140,Pike,950.0,51.7
141,Pike,1250.0,56.0
142,Pike,1600.0,60.0
143,Pike,1550.0,60.0
144,Pike,1650.0,63.4
145,Smelt,6.7,9.8
146,Smelt,7.5,10.5
147,Smelt,7.0,10.6
148,Smelt,9.7,11.0
149,Smelt,9.8,11.2
150,Smelt,8.7,11.3
151,Smelt,10.0,11.8
152,Smelt,9.9,11.8
153,Smelt,9.8,12.0
154,Smelt,12.2,12.2
155,Smelt,13.4,12.4
156,Smelt,12.2,13.0
157,Smelt,19.7,14.3
158,Smelt,19.9,15.0
